district,district_name,country,region,region_name
04,A M A,GHA,03,Greater Accra
03,Abura / Asebu / Kwamankese,GHA,02,Central Region
07,Adaklu Anyigbe,GHA,04,Volta
06,Adansi North,GHA,06,Ashanti
04,Adansi South,GHA,06,Ashanti
05,Adenta,GHA,03,Greater Accra
19,Afigya Kwabre,GHA,06,Ashanti
10,Agona East,GHA,02,Central Region
11,Agona West,GHA,02,Central Region
17,Ahafo Ano North,GHA,06,Ashanti
16,Ahafo Ano South,GHA,06,Ashanti
04,Ahanta West,GHA,01,Western Region
05,Ajumako / Enyan / Essiam,GHA,02,Central Region
05,Akatsi,GHA,04,Volta
05,Akwapem South,GHA,05,Eastern
06,Akwapen North,GHA,05,Eastern
15,Akyem Mansa,GHA,05,Eastern
03,Amansie Central,GHA,06,Ashanti
02,Amansie West,GHA,06,Ashanti
12,Aowin / Suaman,GHA,01,Western Region
10,Asante Akim North,GHA,06,Ashanti
09,Asante Akim South,GHA,06,Ashanti
07,Ashaiman,GHA,03,Greater Accra
12,Asikuma / Odoben  / Brakwa,GHA,02,Central Region
14,Assin North,GHA,02,Central Region
13,Assin South,GHA,02,Central Region
02,Asunafo North,GHA,07,Brong Ahafo
01,Asunafo South,GHA,07,Brong Ahafo
10,Asuogyaman,GHA,05,Eastern
03,Asutifi,GHA,07,Brong Ahafo
18,Atebubu ,GHA,07,Brong Ahafo
17,Atiwa,GHA,05,Eastern
13,Atwima Kwanwoma,GHA,06,Ashanti
01,Atwima Mponua,GHA,06,Ashanti
15,Atwima Nwabiagya,GHA,06,Ashanti
09,Bawku Municipal,GHA,09,Upper East
07,Bawku West,GHA,09,Upper East
07,Bekwai Municipal,GHA,06,Ashanti
10,Berekum,GHA,07,Brong Ahafo
17,Bia,GHA,01,Western Region
12,Biakoye,GHA,04,Volta
02,Birim Municipal,GHA,05,Eastern
16,Birim North,GHA,05,Eastern
01,Birim South,GHA,05,Eastern
01,Bole,GHA,08,Northern
04,Bolgatanga Municipal,GHA,09,Upper East
06,Bongo,GHA,09,Upper East
08,Bosome Freho,GHA,06,Ashanti
12,Bosumtwi ,GHA,06,Ashanti
01,Builsa,GHA,09,Upper East
18,Bunkpurugu Yonyo,GHA,08,Northern
02,Cape Coast,GHA,02,Central Region
17,Chereponi,GHA,08,Northern
10,Dangbe East,GHA,03,Greater Accra
09,Dangbe West,GHA,03,Greater Accra
05,Dormaa East,GHA,07,Brong Ahafo
04,Dormaa Municipal,GHA,07,Brong Ahafo
13,East Akim,GHA,05,Eastern
05,East Gonja,GHA,08,Northern
07,Effutu,GHA,02,Central Region
11,Ejisu Juaben,GHA,06,Ashanti
26,Ejura Sekye Dumasi,GHA,06,Ashanti
02,Ellembelle,GHA,01,Western Region
09,Ewutu Senya ,GHA,02,Central Region
12,Fanteakwa,GHA,05,Eastern
03,Ga East,GHA,03,Greater Accra
02,Ga West,GHA,03,Greater Accra
08,Garu Tempane,GHA,09,Upper East
08,Gomoa East,GHA,02,Central Region
06,Gomoa West,GHA,02,Central Region
04,Gonja Central,GHA,08,Northern
15,Gushiegu ,GHA,08,Northern
08,Ho,GHA,04,Volta
11,Hohoe,GHA,04,Volta
12,Jaman North,GHA,07,Brong Ahafo
11,Jaman South,GHA,07,Brong Ahafo
13,Jasikan,GHA,04,Volta
06,Jirapa,GHA,10,Upper West
01,Jomoro,GHA,01,Western Region
16,Juabeso,GHA,01,Western Region
14,K M A,GHA,06,Ashanti
14,Kadjebi,GHA,04,Volta
14,Karaga,GHA,08,Northern
03,Kasena Nankana East,GHA,09,Upper East
