CTY,Landscape,Eplot,HH,Household,Agric,FFS,SecV,FFS Lab,Yields Maize,Yields Paddy-Maize,Yields Weight,Processed Soils,Comments
UGA,L01,001,01,1,1,1,1,1,0,0,0,0,
UGA,L01,001,02,1,1,1,1,1,0,0,0,0,
UGA,L01,001,03,1,1,1,1,1,0,0,0,0,
UGA,L01,002,01,1,1,1,1,1,0,0,0,0,
UGA,L01,002,02,1,1,1,1,1,0,0,0,0,
UGA,L01,002,03,1,1,1,1,1,0,0,0,0,
UGA,L01,003,01,1,1,1,1,1,0,0,0,0,
UGA,L01,003,02,1,1,1,1,1,0,0,0,0,
UGA,L01,003,03,1,1,1,1,1,0,0,0,0,
UGA,L01,004,01,1,1,1,1,1,0,0,0,0,
UGA,L01,004,02,1,1,1,1,1,0,0,0,0,
UGA,L01,004,03,1,1,1,1,1,0,0,0,0,
UGA,L01,006,01,1,1,1,1,1,0,0,0,0,
UGA,L01,006,02,1,1,1,1,1,0,0,0,0,
UGA,L01,006,03,1,1,1,1,1,0,0,0,0,
UGA,L01,007,01,1,1,1,1,1,0,0,0,0,
UGA,L01,007,02,1,1,1,1,1,0,0,0,0,
UGA,L01,007,03,1,1,1,1,1,0,0,0,0,
UGA,L01,008,01,1,1,1,1,1,0,0,0,0,
UGA,L01,008,02,1,1,1,1,1,0,0,0,0,
UGA,L01,008,03,1,1,1,1,1,0,0,0,0,
UGA,L01,011,01,1,1,1,1,1,0,0,0,0,
UGA,L01,011,02,1,1,1,1,1,0,0,0,0,
UGA,L01,011,03,1,1,1,1,1,0,0,0,0,
UGA,L01,012,01,1,1,1,1,1,0,0,0,0,
UGA,L01,012,02,1,1,1,1,1,0,0,0,0,
UGA,L01,012,03,1,1,0,1,1,0,0,0,0,couldn’t find suitable FFS
UGA,L01,014,01,1,1,1,1,1,0,0,0,0,
UGA,L01,014,02,1,1,1,1,1,0,0,0,0,
UGA,L01,014,03,1,1,1,1,1,0,0,0,0,
UGA,L02,002,01,1,1,1,1,0,0,0,0,0,
UGA,L02,002,02,1,1,1,1,1,0,0,0,0,
UGA,L02,003,01,1,1,1,1,1,0,0,0,0,
UGA,L02,003,02,1,1,1,1,1,0,0,0,0,
UGA,L02,003,03,1,1,1,1,0,0,0,0,0,
UGA,L02,003,04,1,1,1,1,0,0,0,0,0,
UGA,L02,004,01,1,1,1,1,0,0,0,0,0,
UGA,L02,004,02,1,1,1,1,0,0,0,0,0,
UGA,L02,004,03,1,1,1,1,0,0,0,0,0,
UGA,L02,005,01,1,1,0,1,0,0,0,0,0,
UGA,L02,005,02,1,1,1,1,0,0,0,0,0,
UGA,L02,005,03,1,1,1,1,1,0,0,0,0,
UGA,L02,006,01,1,1,1,1,0,0,0,0,0,
UGA,L02,006,02,1,1,1,1,1,0,0,0,0,
UGA,L02,006,03,1,1,1,1,0,0,0,0,0,
UGA,L02,007,01,1,1,1,1,1,0,0,0,0,
UGA,L02,007,02,1,1,1,1,1,0,0,0,0,
UGA,L02,007,03,1,1,1,1,0,0,0,0,0,
UGA,L02,008,01,1,1,1,1,0,0,0,0,0,
UGA,L02,008,02,1,1,1,1,0,0,0,0,0,
UGA,L02,008,03,1,1,1,1,0,0,0,0,0,
UGA,L02,011,01,1,1,1,1,0,0,0,0,0,
UGA,L02,011,02,1,1,1,1,1,0,0,0,0,
UGA,L02,011,03,1,1,1,1,1,0,0,0,0,
UGA,L02,013,01,1,1,1,1,0,0,0,0,0,
UGA,L02,013,02,1,1,1,1,1,0,0,0,0,
UGA,L02,013,03,1,1,1,1,0,0,0,0,0,
UGA,L02,014,01,1,1,1,1,0,0,0,0,0,
UGA,L02,014,02,1,1,1,1,1,0,0,0,0,
UGA,L02,014,03,1,1,1,1,0,0,0,0,0,
UGA,L03,001,01,1,1,1,1,0,0,0,0,2,
UGA,L03,001,02,1,1,1,1,1,0,0,0,2,
UGA,L03,002,02,1,1,1,1,1,0,0,0,2,
UGA,L03,002,03,1,1,1,1,0,0,0,0,2,
UGA,L03,003,01,1,1,1,1,2,0,0,0,2,
UGA,L03,003,02,1,1,1,1,1,0,0,0,2,
UGA,L03,003,03,1,1,1,1,0,0,0,0,2,
UGA,L03,004,01,2,2,2,1,0,0,0,0,2,"One of these records should be UGA-L03-006-1, but there's no way to know which one!"
UGA,L03,004,02,1,1,1,1,1,0,0,0,2,
UGA,L03,004,03,1,1,1,1,0,0,0,0,2,
UGA,L03,004,04,1,1,1,1,1,0,0,0,2,
UGA,L03,005,01,1,1,1,1,1,0,0,0,2,
UGA,L03,005,02,1,1,1,1,0,0,0,0,2,
UGA,L03,005,03,1,1,1,0,1,0,0,0,2,
UGA,L03,006,01,0,0,0,1,0,0,0,0,2,
UGA,L03,006,02,1,1,1,1,0,0,0,0,2,
UGA,L03,006,03,1,1,1,1,0,0,0,0,2,
UGA,L03,007,01,1,1,0,2,2,0,0,0,2,
