"table_catalog","table_schema","table_name","column_name","ordinal_position","column_default","is_nullable","data_type","character_maximum_length","character_octet_length","numeric_precision","numeric_precision_radix","numeric_scale","datetime_precision","interval_type","interval_precision","character_set_catalog","character_set_schema","character_set_name","collation_catalog","collation_schema","collation_name","domain_catalog","domain_schema","domain_name","udt_catalog","udt_schema","udt_name","scope_catalog","scope_schema","scope_name","maximum_cardinality","dtd_identifier","is_self_referencing","is_identity","identity_generation","identity_start","identity_increment","identity_maximum","identity_minimum","identity_cycle","is_generated","generation_expression","is_updatable"
"vitalsigns","public","piigeo_agric","uuid","1","","NO","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","1","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piigeo_agric","eplot_no","2","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","2","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piigeo_agric","hh_no","3","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","3","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piiname_agric","uuid","1","","NO","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","1","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piiname_agric","ag_head_name","2","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","2","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piiname_agric","ag_head_name_cpt","3","","YES","bytea","","","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","bytea","","","","","3","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piiname_agric_field_season_individual","uuid","1","","NO","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","1","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piiname_agric_field_season_individual","ag_indid_name","2","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","2","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piiname_agric_field_season_individual","ag_indid_name_cpt","3","","YES","bytea","","","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","bytea","","","","","3","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piiname_household","uuid","1","","NO","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","1","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piiname_household","hh_head_name","2","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","2","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piiname_household","hh_head_name_cpt","3","","YES","bytea","","","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","bytea","","","","","3","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piigeo_agric_field","uuid","1","","NO","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","1","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piigeo_agric_field","field_name","2","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","2","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piigeo_agric_field","gps_lat","3","","YES","numeric","","","","10","","","","","","","","","","","","","","vitalsigns","pg_catalog","numeric","","","","","3","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piigeo_agric_field","gps_lat_cpt","4","","YES","bytea","","","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","bytea","","","","","4","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piigeo_agric_field","gps_long","5","","YES","numeric","","","","10","","","","","","","","","","","","","","vitalsigns","pg_catalog","numeric","","","","","5","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piigeo_agric_field","gps_long_cpt","6","","YES","bytea","","","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","bytea","","","","","6","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","household_expenditure","uuid","1","","NO","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","1","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","household_expenditure","parent_uuid","2","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","2","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","household_expenditure","survey_uuid","3","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","3","NO","NO","","","","","","","NEVER","","YES"
