Variable,Definition,Values,Protocol
id,Unique Id for the record,,
country,Country,"{'TZA': 'Tanzania', 'GHA': 'Ghana', 'KEN': 'Kenya', 'UGA': 'Uganda', 'RWA': 'Rwanda'}",
region,Region,,
district,District,,
ward,Ward/Parish/Sector,,
town,Town / Village / Community,,
landscape_no,Landscape Number,,
hh_refno,Household Number,,
round,The round of data collection,,
hh_interview_date,Date of household portion of interview,,Household Survey
hh_observations,Observations On The Interview: Record General Notes About The Interview And Record Any Special Information That Will Be Helpful For Supervisors And The Analysis Of This Questionnaire.,,Household Survey
hh_hv105b_01,"If you have purchased or sold a bundle of fuelwood in the year, what was the cost per bundle?",,Household Survey
hh_hv105c_01,What is your primary source of fuelwood for the household or commercial use ?,"{1: 'Forest', 2: 'Grassland', 3: 'From The Farm Fields, Boundaries, Fallow Lands Owned/Operated By The Household', 4: 'From The Farm Fields, Boundaries, Fallow Lands Owned By Neighbors', 5: 'From Private Or Community Woodlots', 6: 'From Roadsides', 7: 'Purchase From Neighbors', 8: 'Purchase From Nearby Town/Village', 9: 'Obtained By Exchange For Other Items (But Not Purchased)', 10: 'Received As A Gift', 11: 'Waste From Non-Farm Work (E.G. Carpentry,Builing, Etc.)', '1b': 'Shrubland', '1a': 'Woodland'}",Household Survey
hh_hv106_01,In which direction is this primary source of fuelwood (only from the primary source in 5d)?,,Household Survey
hh_hv109_01,How has availability changed over the past 5 years?      ,"{1: 'Decreased', 2: 'About The Same', 3: 'Increased'}",Household Survey
hh_hv109a_01,What percentage of total fuelwood for the household comes from this primary source ?,"{1: '0', 2: '1 - 25%', 3: '26 - 50%', 4: '51 - 75%', 5: '76 - 100%'}",Household Survey
hh_hv109b_01,"In the last 12 months, have you been faced with a situation when your household  did not have enough fuelwood for household and/or commercial use?","{1: 'Yes', 2: 'No'}",Household Survey
hh_hv109c_01,When did you experience this incident ?,"{1: 'January', 2: 'February', 3: 'March', 4: 'April', 5: 'May', 6: 'June', 7: 'July', 8: 'August', 9: 'September', 10: 'October', 11: 'November', 12: 'December'}",Household Survey
hh_hv109c_01_1,If the household experienced the incident in January,,Household Survey
hh_hv109c_01_10,If the household experienced the incident in October,,Household Survey
hh_hv109c_01_11,If the household experienced the incident in November,,Household Survey
hh_hv109c_01_12,If the household experienced the incident in December,,Household Survey
hh_hv109c_01_2,If the household experienced the incident in February,,Household Survey
hh_hv109c_01_3,If the household experienced the incident in March,,Household Survey
hh_hv109c_01_4,If the household experienced the incident in April,,Household Survey
hh_hv109c_01_5,If the household experienced the incident in May,,Household Survey
hh_hv109c_01_6,If the household experienced the incident in June,,Household Survey
hh_hv109c_01_7,If the household experienced the incident in July,,Household Survey
hh_hv109c_01_8,If the household experienced the incident in August,,Household Survey
hh_hv109c_01_9,If the household experienced the incident in September,,Household Survey
hh_i01,"In the past 7 days, did you worry that your household would not have enough food?","{1: 'Yes', 2: 'No'}",Household Survey
hh_i02_1,"Rely on less preferred foods? - In the past 7 days, how many days have you or someone in your household had to:","{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7'}",Household Survey
hh_i02_2,"Limit the variety of foods eaten? - In the past 7 days, how many days have you or someone in your household had to:","{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7'}",Household Survey
