Variable,Definition,Values,Protocol
id,Unique Id for the record,,
parent_id,ID of the parent table (household),,
country,Country,,
landscape_no,Landscape Number,,
hh_refno,Household Reference Number,,
round,The round of data collection,,
field_no,Field ID,,
latitude,Latitude of the landscape centerpoint,,
longitude,Longitude of the landscape centerpoint,,
ag_date_of_interview,Date of interview,,Agriculture Management Intensity Survey
ag2a_04,Area (Acres) Farmers estimate,,Agriculture Management Intensity Survey
ag2a_07,Was the field measured?,"{1: 'Yes', 2: 'No'}",Agriculture Management Intensity Survey
ag2a_08,Why was the field not measured?,"{1: 'Too Far', 2: 'Refused'}",Agriculture Management Intensity Survey
ag2a_08_other,Why was the field not measured? (other),,Agriculture Management Intensity Survey
ag2a_02_1,Distance to field (km),,Agriculture Management Intensity Survey
ag2a_02_2,Time to travel to field (Walking/Biking),,Agriculture Management Intensity Survey
ag2a_02_2_unit,Time unit,"{1: 'Minutes', 2: 'Hours', 3: 'Days'}",Agriculture Management Intensity Survey
ag2a_09,GPS MEASUREMENT (what is the area of the field taken by GPS tracking (Acres)?,,Agriculture Management Intensity Survey
ag2a_8b,Area (Steps) Step measurement ,,Agriculture Management Intensity Survey
ag2a_8c,Length of one step (meters),,Agriculture Management Intensity Survey
ag2a_10_1,HOME (KM) - What is the distance from this FIELD to,,Agriculture Management Intensity Survey
ag2a_10_2,ROAD (KM) - What is the distance from this FIELD to,,Agriculture Management Intensity Survey
ag2a_10_3,MARKET (KM) - What is the distance from this FIELD to,,Agriculture Management Intensity Survey
ag10_1,Did livestock graze on this field during the last completed Long Rainy Season/Major Cropping Season?,"{1: 'Yes', 2: 'No'}",Agriculture Management Intensity Survey
ag10_2,Indicate the animals that were grazed on this field in the last completed Long Rainy Season / Major Cropping Season,"{1: 'Bulls', 2: 'Cows', 3: 'Steers', 4: 'Heifers', 5: 'Male Calves', 6: 'Female Calves', 7: 'Goat', 8: 'Sheep', 9: 'Donkey', 50: 'Dogs', 51: 'Other'}",Agriculture Management Intensity Survey
ag10_2_1,If Bulls grazed,,Agriculture Management Intensity Survey
ag10_2_2,If Cows grazed,,Agriculture Management Intensity Survey
ag10_2_3,If Steers grazed,,Agriculture Management Intensity Survey
ag10_2_4,If Heifers grazed,,Agriculture Management Intensity Survey
ag10_2_5,If Male Calves grazed,,Agriculture Management Intensity Survey
ag10_2_6,If Female Calves grazed,,Agriculture Management Intensity Survey
ag10_2_7,If Goats grazed,,Agriculture Management Intensity Survey
ag10_2_8,If Sheep grazed,,Agriculture Management Intensity Survey
ag10_2_9,If Donkeys grazed,,Agriculture Management Intensity Survey
ag10_2_50,If Dogs grazed,,Agriculture Management Intensity Survey
ag10_2_51,If other animals grazed,,Agriculture Management Intensity Survey
ag10_2_other,"Other, please specify",,Agriculture Management Intensity Survey
ag10_3,When did they graze on the field?,"{1: 'After The Harvest', 2: 'During The Fallow', 3: 'Other'}",Agriculture Management Intensity Survey
ag10_3_other,"Other, please specify",,Agriculture Management Intensity Survey
farm_data_collection_date,Date of Sampling and Weighing Soil Samples,,Agriculture Management Intensity Survey
farm_a_1,Is this field size larger than 100 m²? (or 0.025 acres),"{1: 'Yes', 2: 'No'}",Farm Field Soil Sampling and Processing
farm_a_2,Was the field cultivated during the Current or most recently completed Season?,"{1: 'Yes', 2: 'No'}",Farm Field Soil Sampling and Processing
farm_a_3,Was one of ${country_name}’s major crops grown on this field during the current or most recently completed Season?,"{1: 'Yes', 2: 'No'}",Farm Field Soil Sampling and Processing
farm_a_5,Is this field eligible for testing for first field?,"{1: 'Yes', 2: 'No'}",Farm Field Soil Sampling and Processing
farm_a_6,Is this field eligible for testing for second field?,"{1: 'Yes', 2: 'No'}",Farm Field Soil Sampling and Processing
farm_b_8,What is the slope of the field?,"{1: 'Flat (Less than 8%)', 2: 'Moderate slope (8-22%)', 3: 'Steep slope (More than 22%) '}",Farm Field Soil Sampling and Processing
farm_b_9,"Are there visible signs of soil erosion (sheet, rill or gully) in the field?","{1: 'None', 2: 'Slight', 3: 'Moderate', 4: 'Severe'}",Farm Field Soil Sampling and Processing
farm_b_9_a,Are there any erosion control/water harvesting facility? ,"{1: 'Yes', 2: 'No'}",Farm Field Soil Sampling and Processing
farm_b_9_b,What type of soil erosion /water harvesting facility is on the field?,"{1: 'Terraces', 2: 'Erosion Control Bunds', 3: 'Gabions / Sand Bags', 4: 'Vetiver Grass', 5: 'Tree Belts', 6: 'Water Harvest Bunds', 7: 'Drainage Ditches', 8: 'Dam'}",Farm Field Soil Sampling and Processing
farm_b_9_b_1,Terraces,,Farm Field Soil Sampling and Processing
farm_b_9_b_2,Erosion Control Bunds,,Farm Field Soil Sampling and Processing
farm_b_9_b_3,Gabions / Sand Bags,,Farm Field Soil Sampling and Processing
farm_b_9_b_4,Vetiver Grass,,Farm Field Soil Sampling and Processing
farm_b_9_b_5,Tree Belts,,Farm Field Soil Sampling and Processing
farm_b_9_b_6,Water Harvest Bunds,,Farm Field Soil Sampling and Processing
farm_b_9_b_7,Drainage Ditches,,Farm Field Soil Sampling and Processing
farm_b_9_b_8,Dam,,Farm Field Soil Sampling and Processing
farm_b_10_01,Rooted plants - What is the surface condition of the field?,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10}",Farm Field Soil Sampling and Processing
farm_b_10_02,Litter cover - What is the surface condition of the field?,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10}",Farm Field Soil Sampling and Processing
farm_b_10_03,Downed wood - What is the surface condition of the field?,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10}",Farm Field Soil Sampling and Processing
farm_b_10_04,Stone or gravel - What is the surface condition of the field?,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10}",Farm Field Soil Sampling and Processing
farm_b_10_05,Dung - What is the surface condition of the field?,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10}",Farm Field Soil Sampling and Processing
farm_b_10_06,Disturbed soil (generally means tilled) - What is the surface condition of the field?,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10}",Farm Field Soil Sampling and Processing
farm_b_10_07,"Undisturbed, bare & porous soil - What is the surface condition of the field?","{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10}",Farm Field Soil Sampling and Processing
farm_b_10_08,"Undisturbed, bare but sealed soil - What is the surface condition of the field?","{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10}",Farm Field Soil Sampling and Processing
farm_b_10_09,Sodic soil - What is the surface condition of the field?,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10}",Farm Field Soil Sampling and Processing
farm_b_10_10,Microfloral crust - What is the surface condition of the field?,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10}",Farm Field Soil Sampling and Processing
