Variable,Definition,Values,Protocol
id,Unique Id for the record,,
parent_id,ID of the parent table (household_field_season),,
country,Country,,
landscape_no,Landscape Number,,
hh_refno,Household Refernce Number,,
round,The round of data collection,,
field_no,Field ID,,
season,Season - either long rainy or short rainy,,
latitude,Latitude of the landscape centerpoint,,
longitude,Longitude of the landscape centerpoint,,
ag_date_of_interview,Date of interview,,Agriculture Management Intensity Survey
crop_name,Crop Name,"{300: 'Green Tomato', 11: 'Maize', 12: 'Paddy', 13: 'Sorghum', 14: 'Bulrush Millet', 15: 'Finger Millet', '71b': 'Banana Beer', 17: 'Barley', 18: 'Black Pepper', 19: 'Seaweed', 302: 'Bamboo', 22: 'Sweet Potatoes', 23: 'Irish Potatoes', 24: 'Yams', 25: 'Cocoyams', 26: 'Onions', 27: 'Ginger', 31: 'Beans', 32: 'Cowpeas', 33: 'Green Gram', 34: 'Pigeon Pea', 35: 'Chickpeas', 36: 'Bambara Nuts', 37: 'Field Peas', 38: 'Malay Apple', 39: 'Star Fruit', 41: 'Sunflower', 42: 'Sesame/Simsim', 43: 'Groundnut', 44: 'Palm Oil', 45: 'Coconut', 46: 'Cashew Nut', 303: 'Firewood/Fodder', 48: 'Castor Seed', 305: 'Medicinal Plant', 306: 'Fence Tree', 51: 'Tobacco', 52: 'Pyrethrum', 53: 'Sisal', 54: 'Coffee', 55: 'Tea', 56: 'Cocoa', 57: 'Rubber', 58: 'Wattle', 59: 'Kapok', 60: 'Sugar Cane', 61: 'Cardamom ', '71c': 'Banana Sweet', 63: 'Tamarind', 64: 'Cinnamon', 65: 'Nutmeg', 66: 'Clove', 67: 'Bread Fruit', 68: 'Pomelo', 69: 'Jack Fruit', 70: 'Passion Fruit', 72: 'Avocado', 73: 'Mango', 74: 'Papaw', 75: 'Pineapple', 76: 'Orange', 77: 'Grapefruit', 78: 'Grapes', 79: 'Mandarin', 80: 'Guava', 81: 'Blood Fruit', 82: 'Apples', 851: 'Lime', 852: 'Lemon', 301: 'Monkeybread/Baobab', 86: 'Cabbage', 87: 'Tomatoes', 88: 'Spinach', 89: 'Carrot', 90: 'Chilies', 91: 'Amaranths', 92: 'Pumpkins', 93: 'Cucumber', 94: 'Egg Plant', 95: 'Water Mellon', 96: 'Cauliflower', 97: 'Durian', 98: 'Bilimbi', 99: 'Rambutan', 100: 'Okra', 101: 'Kiwi', 62: 'Jute', 21: 'Cassava', 47: 'Soyabeans', '71a': 'Banana Food', 304: 'Timber', 200: 'Custard Apple', 201: 'God Fruit', 202: 'Mitobo', 203: 'Plum', 204: 'Peaches', 205: 'Pomegranate', 210: 'Date', 211: 'Tungamaa', 50: 'Cotton', 16: 'Wheat', 'None': 'None', 83: 'Pears', 84: 'Peaches'}",Agriculture Management Intensity Survey
ag4a_01,Was crop planted in entire area of FIELD?,"{1: 'Yes', 2: 'No'}",Agriculture Management Intensity Survey
ag4a_02,"Approximately, how much of the FIELD was planted with the crop?","{1: '1/4', 2: '1/2', 3: '3/4', 4: 'Almost All'}",Agriculture Management Intensity Survey
ag4a_04,Was cultivation intercropped?,"{1: 'Yes', 2: 'No'}",Agriculture Management Intensity Survey
ag4a_05,What is the reason for this intercropping?,"{1: 'Substitute If Either Crop Fails', 2: 'Increase Fertility For The Soil', '2a': 'Land Shortage'}",Agriculture Management Intensity Survey
ag4a_05_other,What is the reason for this intercropping? (other),,Agriculture Management Intensity Survey
ag4a_5a,What was the planting date of the crop?,,Agriculture Management Intensity Survey
ag4a_06,Did you harvest any crop on this FIELD?,"{1: 'Yes', 2: 'No'}",Agriculture Management Intensity Survey
ag4a_08,What was the area harvested? (ACRES),,Agriculture Management Intensity Survey
ag4a_15,What was the quantity harvested - Amount,,Agriculture Management Intensity Survey
ag4a_15_unit,What was the quantity harvested - Unit,"{1: 'Kg', 2: 'Liter', 3: 'Milliliter'}",Agriculture Management Intensity Survey
ag4a_16,What is the estimated value of the harvested crop in local currency?,,Agriculture Management Intensity Survey
ag4a_19,Did you purchase any SEED for the crop?,"{1: 'Yes', 2: 'No'}",Agriculture Management Intensity Survey
ag4a_21,What was the total value of seeds purchased?,,Agriculture Management Intensity Survey
ag4a_23,What type of seed did you purchase ?,"{1: 'Traditional', 2: 'Purchased Improved Seeds', 3: 'Saved Improved Seeds'}",Agriculture Management Intensity Survey
