Variable,Definition,Values,Protocol
id,Unique Id for the record,,
parent_id,ID of the parent table (household_field_season),,
country,Country,,
landscape_no,Landscape Number,,
hh_refno,Household Reference Number,,
round,The round of data collection,,
field_no,Field ID,,
season,Season - either long rainy or short rainy,,
latitude,Latitude of the landscape centerpoint,,
longitude,Longitude of the landscape centerpoint,,
ag_date_of_interview,Date of interview,,Agriculture Management Intensity Survey
ind_refno,Individual Reference Number,,Agriculture Management Intensity Survey
ag3a_70_preparing,"Ridging, Fertilizing, Other Non-Harvest Activities - How many days did the individual spend on the following activities on this field?",,Agriculture Management Intensity Survey
ag3a_70_weeding,Harvesting - How many days did the individual spend on the following activities on this field?,,Agriculture Management Intensity Survey
ag3a_70_fertilizing,Land preparation and planting - How many days did the individual spend on the following activities on this field?,,Agriculture Management Intensity Survey
ag3a_70_harvesting,Weeding - How many days did the individual spend on the following activities on this field?,,Agriculture Management Intensity Survey
