Variable,Definition,Values,Protocol
season,Season - either long rainy or short rainy,,
id,Unique Id for the record,,
parent_id,ID of the parent table (household),,
country,Country,,
landscape_no,Landscape Number,,
hh_refno,Household Reference Number,,
round,The round of data collection,,
season ,The season,,
latitude,Latitude of the landscape centerpoint,,
longitude,Longitude of the landscape centerpoint,,
ag_date_of_interview,Date of interview,,Agriculture Management Intensity Survey
crop_name,Crop Name,"{300: 'Green Tomato', 11: 'Maize', 12: 'Paddy', 13: 'Sorghum', 14: 'Bulrush Millet', 15: 'Finger Millet', '71b': 'Banana Beer', 17: 'Barley', 18: 'Black Pepper', 19: 'Seaweed', 302: 'Bamboo', 22: 'Sweet Potatoes', 23: 'Irish Potatoes', 24: 'Yams', 25: 'Cocoyams', 26: 'Onions', 27: 'Ginger', 31: 'Beans', 32: 'Cowpeas', 33: 'Green Gram', 34: 'Pigeon Pea', 35: 'Chickpeas', 36: 'Bambara Nuts', 37: 'Field Peas', 38: 'Malay Apple', 39: 'Star Fruit', 41: 'Sunflower', 42: 'Sesame/Simsim', 43: 'Groundnut', 44: 'Palm Oil', 45: 'Coconut', 46: 'Cashew Nut', 303: 'Firewood/Fodder', 48: 'Castor Seed', 305: 'Medicinal Plant', 306: 'Fence Tree', 51: 'Tobacco', 52: 'Pyrethrum', 53: 'Sisal', 54: 'Coffee', 55: 'Tea', 56: 'Cocoa', 57: 'Rubber', 58: 'Wattle', 59: 'Kapok', 60: 'Sugar Cane', 61: 'Cardamom ', '71c': 'Banana Sweet', 63: 'Tamarind', 64: 'Cinnamon', 65: 'Nutmeg', 66: 'Clove', 67: 'Bread Fruit', 68: 'Pomelo', 69: 'Jack Fruit', 70: 'Passion Fruit', 72: 'Avocado', 73: 'Mango', 74: 'Papaw', 75: 'Pineapple', 76: 'Orange', 77: 'Grapefruit', 78: 'Grapes', 79: 'Mandarin', 80: 'Guava', 81: 'Blood Fruit', 82: 'Apples', 851: 'Lime', 852: 'Lemon', 301: 'Monkeybread/Baobab', 86: 'Cabbage', 87: 'Tomatoes', 88: 'Spinach', 89: 'Carrot', 90: 'Chilies', 91: 'Amaranths', 92: 'Pumpkins', 93: 'Cucumber', 94: 'Egg Plant', 95: 'Water Mellon', 96: 'Cauliflower', 97: 'Durian', 98: 'Bilimbi', 99: 'Rambutan', 100: 'Okra', 101: 'Kiwi', 62: 'Jute', 21: 'Cassava', 47: 'Soyabeans', '71a': 'Banana Food', 304: 'Timber', 200: 'Custard Apple', 201: 'God Fruit', 202: 'Mitobo', 203: 'Plum', 204: 'Peaches', 205: 'Pomegranate', 210: 'Date', 211: 'Tungamaa', 50: 'Cotton', 16: 'Wheat', 'None': 'None', 83: 'Pears', 84: 'Peaches'}",Agriculture Management Intensity Survey
ag5a_01,Did you sell any of the crop produced?,"{1: 'Yes', 2: 'No'}",Agriculture Management Intensity Survey
ag5a_02_1,Amount Sold,,Agriculture Management Intensity Survey
ag5a_02_2,Unit,"{1: 'Kg', 2: 'Liter', 3: 'Milliliter'}",Agriculture Management Intensity Survey
ag5a_03,What was the total value of the sales?,,Agriculture Management Intensity Survey
ag5a_12_1,During which month did you sell most of crop?,,Agriculture Management Intensity Survey
ag5a_20,"Was any portion of the production lost post-harvest to rotting, insects, rodents, theft, etc?","{1: 'Yes', 2: 'No'}",Agriculture Management Intensity Survey
ag5a_21,What was the reason for the loss?,"{1: 'Rotten', 2: 'Insects', 3: 'Mammals (Rodent)', 4: 'Birds', 5: 'Theft', '5b': 'Flood', '5a': 'Fire'}",Agriculture Management Intensity Survey
ag5a_21_other,What was the reason for the loss?,"{1: 'Rotten', 2: 'Insects', 3: 'Mammals (Rodent)', 4: 'Birds', 5: 'Theft', '5b': 'Flood', '5a': 'Fire'}",Agriculture Management Intensity Survey
ag5a_22,"Out of 10 units of crop, how many were lost?",,Agriculture Management Intensity Survey
ag5a_24,What was done with the residue from this crop?,"{1: 'Crop Produces No   Residue', 2: 'Residue Was Left In   Field', 3: 'Mulched', 4: 'For Grazing Own Animals', 5: ""For Grazing Others'   Animals"", 6: 'Feeding Own Animals', 7: 'For Sale'}",Agriculture Management Intensity Survey
ag5a_24_other,What was done with the residue from this crop? (other),,Agriculture Management Intensity Survey
ag5a_25,What was the quantity of residue sold?,,Agriculture Management Intensity Survey
ag5a_26,What was the total value of the sales?,,Agriculture Management Intensity Survey
