"Variable","Definition","Values","Protocol"
"id","Unique Id for the record",,
"country","Country","{'TZA': 'Tanzania', 'GHA': 'Ghana', 'KEN': 'Kenya', 'UGA': 'Uganda', 'RWA': 'Rwanda'}",
"landscape_no","Eplot Number",,
"landscape_no","Landscape Number",,
"eplot_no","Eplot Number",,
"eplot_no","Landscape Number",,
"round","The round of data collection",,
"field_date","Date",,"E-Plot Biomass Measurements"
"field_radius","Sub-plot radius",,"E-Plot Biomass Measurements"
"gpsne_accuracy","Accuracy",,"E-Plot Biomass Measurements"
"gpsne_lat","Latitude - Enter the GPS location of the NE corner",,"E-Plot Biomass Measurements"
"gpsne_lat","North or South? - Enter the GPS location of the NE corner","{'s': 'South', 'n': 'North'}","E-Plot Biomass Measurements"
"gpsne_long","East or West? - Enter the GPS location of the NE corner","{'e': 'East', 'w': 'West'}","E-Plot Biomass Measurements"
"gpsne_long","Longitude - Enter the GPS location of the NE corner",,"E-Plot Biomass Measurements"
"gpsnw_accuracy","Accuracy",,"E-Plot Biomass Measurements"
"gpsnw_lat","Latitude - Enter the GPS location of the NW corner",,"E-Plot Biomass Measurements"
"gpsnw_lat","North or South? - Enter the GPS location of the NW corner","{'s': 'South', 'n': 'North'}","E-Plot Biomass Measurements"
"gpsnw_long","East or West? - Enter the GPS location of the NW corner","{'e': 'East', 'w': 'West'}","E-Plot Biomass Measurements"
"gpsnw_long","Longitude - Enter the GPS location of the NW corner",,"E-Plot Biomass Measurements"
"gpsse_accuracy","Accuracy - Enter the GPS location of the SE corner",,"E-Plot Biomass Measurements"
"gpsse_start","GPS start time - Enter the GPS location of the SE corner",,"E-Plot Biomass Measurements"
"gpsse_end","GPS end time - Enter the GPS location of the SE corner",,"E-Plot Biomass Measurements"
"gpsse_lat","Latitude - Enter the GPS location of the SE corner",,"E-Plot Biomass Measurements"
"gpsse_lat","North or South? - Enter the GPS location of the SE corner","{'s': 'South', 'n': 'North'}","E-Plot Biomass Measurements"
"gpsse_long","East or West? - Enter the GPS location of the SE corner","{'e': 'East', 'w': 'West'}","E-Plot Biomass Measurements"
"gpsse_long","Longitude - Enter the GPS location of the SE corner",,"E-Plot Biomass Measurements"
"gpsse_measurement_counts","Number of measurement counts on average",,"E-Plot Biomass Measurements"
"gpssw_accuracy","Accuracy",,"E-Plot Biomass Measurements"
"gpssw_lat","Latitude - Enter the GPS location of the SW corner",,"E-Plot Biomass Measurements"
"gpssw_lat","North or South? - Enter the GPS location of the SW corner","{'s': 'South', 'n': 'North'}","E-Plot Biomass Measurements"
"gpssw_long","East or West? - Enter the GPS location of the SW corner","{'e': 'East', 'w': 'West'}","E-Plot Biomass Measurements"
"gpssw_long","Longitude - Enter the GPS location of the SW corner",,"E-Plot Biomass Measurements"
"field_observations","Notes about the E-plot",,"E-Plot Biomass Measurements"
"soil_sample_date","Date of Sampling and Weighing Samples",,"E-Plot Soil Sampling and Processing"
"soil_se_top_restriction_depth","Depth to sampling restriction, if any - Corner 1.  SE -- Topsoil (0-20)",,"E-Plot Soil Sampling and Processing"
"soil_se_subsoil_restriction_depth","Depth to sampling restriction, if any - Corner 1.  SE -- Subsoil (20-50)",,"E-Plot Soil Sampling and Processing"
"soil_se_50_80_restriction_depth","Depth to sampling restriction, if any - Corner 1.  SE -- 50-80",,"E-Plot Soil Sampling and Processing"
"soil_ne_sub_restriction_depth","Depth to sampling restriction, if any",,"E-Plot Soil Sampling and Processing"
