"Variable","Definition","Values","Protocol"
"id","Unique Id for the record",,
"parent_id","ID of the parent table (eplot)",,
"country","Country",,
"landscape_no","Landscape Number",,
"eplot_no","Eplot Number",,
"round","The round of data collection",,
"subplot","Subplot Number",,
"field_date","Date",,"E-Plot Biomass Measurements"
"latitude","Latitude of the southeast corner of the Eplot",,
"longitude","Longitude of the southeast corner of the Eplot",,
"mass","Herbaceous Mass Score - Herbaceous layer (Herbaceous mass and Dry-Weight-Rank Method)","{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10}","E-Plot Biomass Measurements"
"crust","Microfloral Crust - Values must sum to 10",,"E-Plot Biomass Measurements"
"disturbed","Disturbed Soil - Values must sum to 10",,"E-Plot Biomass Measurements"
"downed","Downed Wood - Values must sum to 10",,"E-Plot Biomass Measurements"
"dung","Dung - Values must sum to 10",,"E-Plot Biomass Measurements"
"herbaceous","Herbaceous Crown Cover Score (0-10)","{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10}","E-Plot Biomass Measurements"
"herbaceous_erosion","Soil Erosion Score (0-3)","{0: 0, 1: 1, 2: 2, 3: 3}","E-Plot Biomass Measurements"
"litter","Litter Cover - Values must sum to 10",,"E-Plot Biomass Measurements"
"porous","Undisturbed Bare & Porous Soil - Values must sum to 10",,"E-Plot Biomass Measurements"
"rooted","Rooted Plants - Values must sum to 10",,"E-Plot Biomass Measurements"
"sealed","Undisturbed but Sealed Soil - Values must sum to 10",,"E-Plot Biomass Measurements"
"sodic","Sodic Soil - Values must sum to 10",,"E-Plot Biomass Measurements"
"stone","Stone or Gravel - Values must sum to 10",,"E-Plot Biomass Measurements"
"termite","Termite Mound",,"E-Plot Biomass Measurements"
"densiometer_e","Woody Canopy Cover Score - E",,"E-Plot Biomass Measurements"
"densiometer_n","Woody Canopy Cover Score - N",,"E-Plot Biomass Measurements"
"densiometer_s","Woody Canopy Cover Score - S",,"E-Plot Biomass Measurements"
"densiometer_w","Woody Canopy Cover Score - W",,"E-Plot Biomass Measurements"
