"Variable","Definition","Values","Protocol"
"id","Unique Id for the record",,
"parent_id","ID of the parent table (household)",,
"country","Country",,
"landscape_no","Landscape Number",,
"hh_refno",,,
"round","The round of data collection",,
"field_no","Field ID",,
"field_no","Selected first field","{'M2': 'M2', 'None': 'None', 'M6': 'M6', 'M1': 'M1', 'M8': 'M8', 'M5': 'M5', 'M7': 'M7', 'M3': 'M3', 'M4': 'M4'}",
"field_no","Selected second field","{'M2': 'M2', 'None': 'None', 'M6': 'M6', 'M1': 'M1', 'M8': 'M8', 'M5': 'M5', 'M7': 'M7', 'M3': 'M3', 'M4': 'M4'}",
"field_no",,,
"latitude","Latitude of the landscape centerpoint",,
"longitude","Longitude of the landscape centerpoint",,
"ag_date_of_interview","Date of interview",,"Agriculture Survey"
"ag2a_04","Area (Acres) Farmers estimate",,"Agriculture Management Intensity Survey"
"ag2a_07","Was the field measured?","{1: 'Yes', 2: 'No'}","Agriculture Management Intensity Survey"
"ag2a_08","Why was the field not measured?","{1: 'Too Far', 2: 'Refused'}","Agriculture Management Intensity Survey"
"ag2a_08_other","Why was the field not measured?","{1: 'Too Far', 2: 'Refused'}","Agriculture Management Intensity Survey"
"ag2a_02_1","Distance (km) - HOW FAR IS THIS FIELD? ESTIMATE THE DISTANCE IN METERS OR KILOMETERS TO THE FIELD FROM THE HOUSE/FARM OR TIME TO TRAVEL WALKING IN MINUTES",,"Agriculture Management Intensity Survey"
"ag2a_02_2","Time (Walking/Biking) - HOW FAR IS THIS FIELD? ESTIMATE THE DISTANCE IN METERS OR KILOMETERS TO THE FIELD FROM THE HOUSE/FARM OR TIME TO TRAVEL WALKING IN MINUTES",,"Agriculture Management Intensity Survey"
"ag2a_02_2_unit","Time unit","{1: 'Minutes', 2: 'Hours', 3: 'Days'}","Agriculture Management Intensity Survey"
"ag2a_09","GPS MEASUREMENT ((what is the area of the field taken by GPS tracking (Acres)?)",,"Agriculture Management Intensity Survey"
"ag2a_8b","Area (Steps) Step measurement [DO MEASUREMENT AT THE COMPLETION OF SECTION 12]",,"Agriculture Management Intensity Survey"
"ag2a_8c","Length of one step (meters)",,"Agriculture Management Intensity Survey"
"ag2a_10_1","HOME (KM) - What is the distance from Field ${fd3_field_name} to:",,"Agriculture Management Intensity Survey"
"ag2a_10_1","HOME (KM) - What is the distance from this FIELD to:",,"Agriculture Management Intensity Survey"
"ag2a_10_2","ROAD (KM) - What is the distance from Field ${fd3_field_name} to:",,"Agriculture Management Intensity Survey"
"ag2a_10_2","ROAD (KM) - What is the distance from this FIELD to:",,"Agriculture Management Intensity Survey"
"ag2a_10_3","MARKET (KM)",,"Agriculture Management Intensity Survey"
"ag10_1","Did livestock graze on this field during the last completed Long Rainy Season/Major Cropping Season?","{1: 'Yes', 2: 'No'}","Agriculture Management Intensity Survey"
"ag10_2","Indicate the animals that were grazed on this field in the last completed Long Rainy Season / Major Cropping Season","{1: 'Bulls', 2: 'Cows', 3: 'Steers', 4: 'Heifers', 5: 'Male Calves', 6: 'Female Calves', 7: 'Goat', 8: 'Sheep', 9: 'Donkey', 50: 'Dogs', 51: 'Other'}","Agriculture Management Intensity Survey"
"ag10_2_1","Indicate the animals that were grazed on this field in the last completed Long Rainy Season / Major Cropping Season","{1: 'Bulls', 2: 'Cows', 3: 'Steers', 4: 'Heifers', 5: 'Male Calves', 6: 'Female Calves', 7: 'Goat', 8: 'Sheep', 9: 'Donkey', 50: 'Dogs', 51: 'Other'}","Agriculture Management Intensity Survey"
"ag10_2_2","Indicate the animals that were grazed on this field in the last completed Long Rainy Season / Major Cropping Season","{1: 'Bulls', 2: 'Cows', 3: 'Steers', 4: 'Heifers', 5: 'Male Calves', 6: 'Female Calves', 7: 'Goat', 8: 'Sheep', 9: 'Donkey', 50: 'Dogs', 51: 'Other'}","Agriculture Management Intensity Survey"
"ag10_2_3","Indicate the animals that were grazed on this field in the last completed Long Rainy Season / Major Cropping Season","{1: 'Bulls', 2: 'Cows', 3: 'Steers', 4: 'Heifers', 5: 'Male Calves', 6: 'Female Calves', 7: 'Goat', 8: 'Sheep', 9: 'Donkey', 50: 'Dogs', 51: 'Other'}","Agriculture Management Intensity Survey"
"ag10_2_4","Indicate the animals that were grazed on this field in the last completed Long Rainy Season / Major Cropping Season","{1: 'Bulls', 2: 'Cows', 3: 'Steers', 4: 'Heifers', 5: 'Male Calves', 6: 'Female Calves', 7: 'Goat', 8: 'Sheep', 9: 'Donkey', 50: 'Dogs', 51: 'Other'}","Agriculture Management Intensity Survey"
"ag10_2_5","Indicate the animals that were grazed on this field in the last completed Long Rainy Season / Major Cropping Season","{1: 'Bulls', 2: 'Cows', 3: 'Steers', 4: 'Heifers', 5: 'Male Calves', 6: 'Female Calves', 7: 'Goat', 8: 'Sheep', 9: 'Donkey', 50: 'Dogs', 51: 'Other'}","Agriculture Management Intensity Survey"
"ag10_2_6","Indicate the animals that were grazed on this field in the last completed Long Rainy Season / Major Cropping Season","{1: 'Bulls', 2: 'Cows', 3: 'Steers', 4: 'Heifers', 5: 'Male Calves', 6: 'Female Calves', 7: 'Goat', 8: 'Sheep', 9: 'Donkey', 50: 'Dogs', 51: 'Other'}","Agriculture Management Intensity Survey"
"ag10_2_7","Indicate the animals that were grazed on this field in the last completed Long Rainy Season / Major Cropping Season","{1: 'Bulls', 2: 'Cows', 3: 'Steers', 4: 'Heifers', 5: 'Male Calves', 6: 'Female Calves', 7: 'Goat', 8: 'Sheep', 9: 'Donkey', 50: 'Dogs', 51: 'Other'}","Agriculture Management Intensity Survey"
"ag10_2_8","Indicate the animals that were grazed on this field in the last completed Long Rainy Season / Major Cropping Season","{1: 'Bulls', 2: 'Cows', 3: 'Steers', 4: 'Heifers', 5: 'Male Calves', 6: 'Female Calves', 7: 'Goat', 8: 'Sheep', 9: 'Donkey', 50: 'Dogs', 51: 'Other'}","Agriculture Management Intensity Survey"
"ag10_2_9","Indicate the animals that were grazed on this field in the last completed Long Rainy Season / Major Cropping Season","{1: 'Bulls', 2: 'Cows', 3: 'Steers', 4: 'Heifers', 5: 'Male Calves', 6: 'Female Calves', 7: 'Goat', 8: 'Sheep', 9: 'Donkey', 50: 'Dogs', 51: 'Other'}","Agriculture Management Intensity Survey"
"ag10_2_50","Indicate the animals that were grazed on this field in the last completed Long Rainy Season / Major Cropping Season","{1: 'Bulls', 2: 'Cows', 3: 'Steers', 4: 'Heifers', 5: 'Male Calves', 6: 'Female Calves', 7: 'Goat', 8: 'Sheep', 9: 'Donkey', 50: 'Dogs', 51: 'Other'}","Agriculture Management Intensity Survey"
"ag10_2_51","Indicate the animals that were grazed on this field in the last completed Long Rainy Season / Major Cropping Season","{1: 'Bulls', 2: 'Cows', 3: 'Steers', 4: 'Heifers', 5: 'Male Calves', 6: 'Female Calves', 7: 'Goat', 8: 'Sheep', 9: 'Donkey', 50: 'Dogs', 51: 'Other'}","Agriculture Management Intensity Survey"
"ag10_2_other","Other, please specify",,"Agriculture Management Intensity Survey"
"ag10_3","When did they graze on the field?","{1: 'After The Harvest', 2: 'During The Fallow', 3: 'Other'}","Agriculture Management Intensity Survey"
"ag10_3_other","Other, please specify",,"Agriculture Management Intensity Survey"
"farm_data_collection_date","Date of Sampling and Weighing Samples",,
"farm_a_1","Is this field size larger than 100 m²? (or 0.025 acres)","{1: 'Yes', 2: 'No'}","Farm Field Soil Sampling and Processing"
