"Variable","Definition","Values","Protocol"
"id","Unique Id for the record",,
"parent_id","ID of the parent table (household)",,
"country","Country",,
"landscape_no","Landscape Number",,
"hh_refno",,,
"round","The round of data collection",,
"latitude","Latitude of the landscape centerpoint",,
"longitude","Longitude of the landscape centerpoint",,
"resource",,,
"hh_hv2_10","Building materials (e.g. wood that is not used as a fuel source)  - Now Enter data from the HV2: NATURAL RESOURCE BASE section; 10) Other than fuelwood, does your household use other materials from nearby fallow lands, forest, woodland, shrubland, rivers, creeks, or other area?","{1: 'Yes', 2: 'No'}","Household Survey"
"hh_hv2_10","Fish from local rivers/creeks - Now Enter data from the HV2: NATURAL RESOURCE BASE section; 10) Other than fuelwood, does your household use other materials from nearby fallow lands, forest, woodland, shrubland, rivers, creeks, or other area?","{1: 'Yes', 2: 'No'}","Household Survey"
"hh_hv2_10","Honey - Now Enter data from the HV2: NATURAL RESOURCE BASE section; 10) Other than fuelwood, does your household use other materials from nearby fallow lands, forest, woodland, shrubland, rivers, creeks, or other area?","{1: 'Yes', 2: 'No'}","Household Survey"
"hh_hv2_10","Items for special ceremonies - Now Enter data from the HV2: NATURAL RESOURCE BASE section; 10) Other than fuelwood, does your household use other materials from nearby fallow lands, forest, woodland, shrubland, rivers, creeks, or other area?","{1: 'Yes', 2: 'No'}","Household Survey"
"hh_hv2_10","Medicinal Plants - Now Enter data from the HV2: NATURAL RESOURCE BASE section; 10) Other than fuelwood, does your household use other materials from nearby fallow lands, forest, woodland, shrubland, rivers, creeks, or other area?","{1: 'Yes', 2: 'No'}","Household Survey"
"hh_hv2_10","Nuts or seeds - Now Enter data from the HV2: NATURAL RESOURCE BASE section; 10) Other than fuelwood, does your household use other materials from nearby fallow lands, forest, woodland, shrubland, rivers, creeks, or other area?","{1: 'Yes', 2: 'No'}","Household Survey"
"hh_hv2_10","Other  (specify) - Now Enter data from the HV2: NATURAL RESOURCE BASE section","{1: 'Yes', 2: 'No'}","Household Survey"
"hh_hv2_10","What kinds of other items? (specify) - Now Enter data from the HV2: NATURAL RESOURCE BASE section",,"Household Survey"
"hh_hv2_10","Wild insects - Now Enter data from the HV2: NATURAL RESOURCE BASE section; 10) Other than fuelwood, does your household use other materials from nearby fallow lands, forest, woodland, shrubland, rivers, creeks, or other area?","{1: 'Yes', 2: 'No'}","Household Survey"
"hh_hv2_10","Wild meat - Now Enter data from the HV2: NATURAL RESOURCE BASE section; 10) Other than fuelwood, does your household use other materials from nearby fallow lands, forest, woodland, shrubland, rivers, creeks, or other area?","{1: 'Yes', 2: 'No'}","Household Survey"
"hh_hv2_11","During which season do you depend more on any other items ? - Now Enter data from the HV2: NATURAL RESOURCE BASE section","{1: 'Wet Season', 2: 'Dry Season'}","Household Survey"
"hh_hv2_11","During which season do you depend more on Building materials (e.g. wood that is not used as a fuel source)? - Now Enter data from the HV2: NATURAL RESOURCE BASE section","{1: 'Wet Season', 2: 'Dry Season'}","Household Survey"
"hh_hv2_11","During which season do you depend more on Fish from local rivers/creeks? - Now Enter data from the HV2: NATURAL RESOURCE BASE section","{1: 'Wet Season', 2: 'Dry Season'}","Household Survey"
"hh_hv2_11","During which season do you depend more on Honey? - Now Enter data from the HV2: NATURAL RESOURCE BASE section","{1: 'Wet Season', 2: 'Dry Season'}","Household Survey"
"hh_hv2_11","During which season do you depend more on Items for special ceremonies? - Now Enter data from the HV2: NATURAL RESOURCE BASE section","{1: 'Wet Season', 2: 'Dry Season'}","Household Survey"
"hh_hv2_11","During which season do you depend more on Medicinal plants ? - Now Enter data from the HV2: NATURAL RESOURCE BASE section","{1: 'Wet Season', 2: 'Dry Season'}","Household Survey"
"hh_hv2_11","During which season do you depend more on Nuts or seeds? - Now Enter data from the HV2: NATURAL RESOURCE BASE section","{1: 'Wet Season', 2: 'Dry Season'}","Household Survey"
"hh_hv2_11","During which season do you depend more on Wild insects? - Now Enter data from the HV2: NATURAL RESOURCE BASE section","{1: 'Wet Season', 2: 'Dry Season'}","Household Survey"
"hh_hv2_11","During which season do you depend more on Wild meat? - Now Enter data from the HV2: NATURAL RESOURCE BASE section","{1: 'Wet Season', 2: 'Dry Season'}","Household Survey"
"hh_hv2_12","How often do you collect any other items ? - Now Enter data from the HV2: NATURAL RESOURCE BASE section","{1: 'Weekly', 2: 'Monthly', 3: 'Seasonally', 4: 'Annually'}","Household Survey"
"hh_hv2_12","How often do you collect Building materials (e.g. wood that is not used as a fuel source)? - Now Enter data from the HV2: NATURAL RESOURCE BASE section","{1: 'Weekly', 2: 'Monthly', 3: 'Seasonally', 4: 'Annually'}","Household Survey"
"hh_hv2_12","How often do you collect Fish from local rivers/creeks? - Now Enter data from the HV2: NATURAL RESOURCE BASE section","{1: 'Weekly', 2: 'Monthly', 3: 'Seasonally', 4: 'Annually'}","Household Survey"
"hh_hv2_12","How often do you collect Honey? - Now Enter data from the HV2: NATURAL RESOURCE BASE section","{1: 'Weekly', 2: 'Monthly', 3: 'Seasonally', 4: 'Annually'}","Household Survey"
"hh_hv2_12","How often do you collect Items for special ceremonies? - Now Enter data from the HV2: NATURAL RESOURCE BASE section","{1: 'Weekly', 2: 'Monthly', 3: 'Seasonally', 4: 'Annually'}","Household Survey"
"hh_hv2_12","How often do you collect Medicinal plants ? - Now Enter data from the HV2: NATURAL RESOURCE BASE section","{1: 'Weekly', 2: 'Monthly', 3: 'Seasonally', 4: 'Annually'}","Household Survey"
"hh_hv2_12","How often do you collect Nuts or seeds? - Now Enter data from the HV2: NATURAL RESOURCE BASE section","{1: 'Weekly', 2: 'Monthly', 3: 'Seasonally', 4: 'Annually'}","Household Survey"
"hh_hv2_12","How often do you collect Wild insects? - Now Enter data from the HV2: NATURAL RESOURCE BASE section","{1: 'Weekly', 2: 'Monthly', 3: 'Seasonally', 4: 'Annually'}","Household Survey"
"hh_hv2_12","How often do you collect Wild meat? - Now Enter data from the HV2: NATURAL RESOURCE BASE section","{1: 'Weekly', 2: 'Monthly', 3: 'Seasonally', 4: 'Annually'}","Household Survey"
"hh_hv2_13","If you could no longer collect Building materials (e.g. wood that is not used as a fuel source) , would you be willing to purchase them at the market? - Now Enter data from the HV2: NATURAL RESOURCE BASE section","{1: 'Yes', 2: 'No'}","Household Survey"
"hh_hv2_13","If you could no longer collect Fish, would you be willing to purchase them at the market? - Now Enter data from the HV2: NATURAL RESOURCE BASE section","{1: 'Yes', 2: 'No'}","Household Survey"
"hh_hv2_13","If you could no longer collect Honey, would you be willing to purchase them at the market? - Now Enter data from the HV2: NATURAL RESOURCE BASE section","{1: 'Yes', 2: 'No'}","Household Survey"
"hh_hv2_13","If you could no longer collect Items for special ceremonies, would you be willing to purchase them at the market? - Now Enter data from the HV2: NATURAL RESOURCE BASE section","{1: 'Yes', 2: 'No'}","Household Survey"
"hh_hv2_13","If you could no longer collect Medicnal plants, would you be willing to purchase them at the market? - Now Enter data from the HV2: NATURAL RESOURCE BASE section","{1: 'Yes', 2: 'No'}","Household Survey"
"hh_hv2_13","If you could no longer collect Nuts or seeds, would you be willing to purchase them at the market? - Now Enter data from the HV2: NATURAL RESOURCE BASE section","{1: 'Yes', 2: 'No'}","Household Survey"
"hh_hv2_13","If you could no longer collect other items would you be willing to purchase them at the market? - Now Enter data from the HV2: NATURAL RESOURCE BASE section","{1: 'Yes', 2: 'No'}","Household Survey"
